JLCPCB Part #,MFR Part #,Manufacturer,Description,Stock,Package,Datasheet
C6549145,EP4CE30F23C7N,intel/altera,28848 1803 FBGA-484(23x23)  Programmable Logic Device (CPLDs/FPGAs) ROHS,43,FBGA-484_23x23,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2312051050_Intel-Altera-EP4CE30F23C7N_C6549145.pdf
C129363,SN74AVC4T774PWR,Texas Instruments,"1.1V~3.6V 1 4 1.1V~3.6V 380Mbps TSSOP-16 Translators, Level Shifters ROHS",6333,TSSOP-16,https://www.lcsc.com/datasheet/lcsc_datasheet_1811081942_Texas-Instruments-SN74AVC4T774PWR_C129363.pdf
C5307756,HC-TYPE-C-16P-CH3.18-3A-02,Hctl,3A USB 3.1 1 260℃@10S Horizontal attachment 16P Female -25℃~+85℃ Gold High conductivity copper Type-C SMD USB Connectors ROHS,952,SMD,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2212071830_HCTL-HC-TYPE-C-16P-CH3-18-3A-02_C5307756.pdf
C45783,CL21A226MAQNNNE,Samsung electro-mechanics,25V 22uF X5R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,972962,0805,https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL21A226MAQNNNE_C45783.pdf
C2901628,SX5B12.000F1620F30,Shenzhen Sctf Elec,12MHz SMD crystal oscillator 16pF ±20ppm ±30ppm SMD5032-4P  Crystals ROHS,25,SMD5032-4P,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2406051021_Shenzhen-SCTF-Elec-SX5B12-000F1620F30_C2901628.pdf
C5644852,G6K-2F-RF-T-TR03-DC5,Omron Electronics,Two Sets of Conversion: 2C (DPDT-Conversion) 1A 5V Signal Relays ROHS,266,-,https://www.lcsc.com/datasheet/lcsc_datasheet_2410010202_Omron-Electronics-G6K-2F-RF-T-TR03-DC5_C5644852.pdf
C467192,EPCQ16ASI8N,intel/altera,SOIC-8  Programmable Logic Device (CPLDs/FPGAs) ROHS,239,SOIC-8,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_Intel-Altera-EPCQ16ASI8N_C467192.pdf
C185420,RC0402FR-0739RL,Yageo,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 39Ω 0402 Chip Resistor - Surface Mount ROHS,47658,0402,https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_YAGEO-RC0402FR-0739RL_C185420.pdf
C327228,CC0402BRNPO9BN3R0,Yageo,50V 3pF NP0 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,114561,0402,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/1811141233_YAGEO-CC0402BRNPO9BN3R0_C327228.pdf
C401766,EEEFT1E102UP,Panasonic,"1000uF 25V 1.19A@100kHz 60mΩ@100kHz ±20% SMD,D10xL10.2mm  Aluminum Electrolytic Capacitors - SMD ROHS",15217,"SMD,D10xL10.2mm",https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/1912111437_PANASONIC-EEEFT1E102UP_C401766.pdf
C272377,RC0402FR-0722R6L,Yageo,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 22.6Ω 0402 Chip Resistor - Surface Mount ROHS,7664,0402,https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_YAGEO-RC0402FR-0722R6L_C272377.pdf
C2286,KT-0603R,Hubei Kento Elec,-40℃~+85℃ Red 0603 LED Indication - Discrete ROHS,2797098,0603,https://www.lcsc.com/datasheet/lcsc_datasheet_1810231112_Hubei-KENTO-Elec-KT-0603R_C2286.pdf
