Comment,topDesignator,bottomDesignator,Footprint,JLCPCB Part #,MFR Part #,Manufacturer,Description,Stock,Package,Datasheet
56k,R228,,RES-0402,C25796,0402WGF5602TCE,uni-royal(uniroyal elec),62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 56kΩ 0402 Chip Resistor - Surface Mount ROHS,312130,402,https://www.lcsc.com/datasheet/lcsc_datasheet_2411221126_UNI-ROYAL-Uniroyal-Elec-0402WGF5602TCE_C25796.pdf
120,"R240,R241",,R0402,C25079,0402WGF1200TCE,uni-royal(uniroyal elec),62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 120Ω 0402 Chip Resistor - Surface Mount ROHS,676145,402,https://www.lcsc.com/datasheet/lcsc_datasheet_2205311900_UNI-ROYAL-Uniroyal-Elec-0402WGF1200TCE_C25079.pdf
1M,"R42,R158,R204,R205",,RES-0402,C26083,0402WGF1004TCE,uni-royal(uniroyal elec),62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 1MΩ 0402 Chip Resistor - Surface Mount ROHS,2377080,402,https://www.lcsc.com/datasheet/lcsc_datasheet_2206010030_UNI-ROYAL-Uniroyal-Elec-0402WGF1004TCE_C26083.pdf
47,"R43,R168,R169,R170,R177,R242,R136,R31,R153,R154,R159,R210,R160",R211,RES-0402,C25118,0402WGF470JTCE,uni-royal(uniroyal elec),62.5mW Thick Film Resistors 50V ±1% ±200ppm/℃ 47Ω 0402 Chip Resistor - Surface Mount ROHS,740434,402,https://www.lcsc.com/datasheet/lcsc_datasheet_2205311900_UNI-ROYAL-Uniroyal-Elec-0402WGF470JTCE_C25118.pdf
SKQGADE010,"SW3,SW4",,SW4-SMD-5.2X5.2X1.5MM,C116647,SKQGADE010,Alpsalpine,5.2mm 1.5mm Round Button 50mA Standing paste 5.2mm SPST 12V SMD Tactile Switches ROHS,23600,SMD,https://www.lcsc.com/datasheet/lcsc_datasheet_1809200033_ALPSALPINE-SKQGADE010_C116647.pdf
WS2812-2020,"U1,U3",,LED_WS2812-2020,C965555,WS2812B-2020,Worldsemi,"SMD,2x2mm RGB LEDs(Built-in IC) ROHS",260282,"SMD,2.2x2mm",https://www.lcsc.com/datasheet/lcsc_datasheet_2012110135_Worldsemi-WS2812B-2020_C965555.pdf
ADF4350BCPZ,U2,,QFN50P500X500X100-33V2N,C98705,ADF4350BCPZ-RL7,Analog Devices,"4.4GHz LFCSP-32(5x5) Clock Generators, PLLs, Frequency Synthesizers ROHS",786,LFCSP-32(5x5),https://www.lcsc.com/datasheet/lcsc_datasheet_1809051230_Analog-Devices-ADF4350BCPZ-RL7_C98705.pdf
USBC,X1,,USB_C_CUSB31-CFM2AX-01-X,C5307756,HC-TYPE-C-16P-CH3.18-3A-02,Hctl,3A USB 3.1 1 260℃@10S Horizontal attachment 16P Female -25℃~+85℃ Gold High conductivity copper Type-C SMD USB Connectors ROHS,952,SMD,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2212071830_HCTL-HC-TYPE-C-16P-CH3-18-3A-02_C5307756.pdf
OSCILLATORSMD-5X3,Y2,,OSCILLATOR-SMD-5X3.2,C2901546,SX5M50.000M20F30TNN,Shenzhen Sctf Elec,1.62V~3.63V ±20ppm 20mA ±30ppm CMOS 50MHz SMD5032-4P Crystal Oscillators ROHS,4634,SMD5032-4P,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2405241539_Shenzhen-SCTF-Elec-SX5M50-000M20F30TNN_C2901546.pdf
12MHz,Y3,,CRYSTAL-SMD-5X3,C2901628,SX5B12.000F1620F30,Shenzhen Sctf Elec,12MHz SMD crystal oscillator 16pF ±20ppm ±30ppm SMD5032-4P Crystals ROHS,25,SMD5032-4P,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2406051021_Shenzhen-SCTF-Elec-SX5B12-000F1620F30_C2901628.pdf
,,,,,,,,,,
Other parts,Quantity,,,,,,,,,
ADC,1,,,,ADC12DL2500,Texas Instruments,"12-bit, dual 2.5GSPS or single 5GSPS analog-to-digital converter (LVDS interface)",,,https://www.ti.com/lit/gpn/adc12dl2500
BNC connector,2,,,,73100-0105,Molex,"BNC Jack, Right-Angle, PCB Receptacle, Die Cast Body, Nickel (Ni) Plated, Low Profile, Tray, 50 Ohms",,,https://www.molex.com/en-us/products/part-detail/731000105
Light pipe,2,,,,SLP3-150-100-F,BIVAR,"Light Pipes, Rigid Board Mount",,,https://www.bivar.com/product/slp3-150-100-f/
USB A connector,2,,,,292303-1,TE Connectivity,"A, 2.0, Standard Profile, Receptacle, 1 Port, Top, Right Angle, Box & Tube / Tube, Flush, Through Hole - Solder, Cable-to-Board, USB Connectors",,,https://www.te.com/en/product-292303-1.html
Ethernet connector,2,,,,FRJAE-438,Amphenol,"Modular Jack - Right Angle, Input Output Connectors 8P8C, Shield, No Filter.",,,https://www.amphenol-cs.com/product/frjae438.html
Compensation tabs,2,,,,725996-2,TE Connectivity,"Tab, 2.79 mm [.11 in] Tab Width, 1.3 mm [.051 in] PCB Hole, Through Hole - Solder, Tin Plating, Box, FASTON 110, PCB Terminals",,,https://www.te.com/en/product-725996-2.html
Case,1,,,,1455R2201,Hammond Mfg.,extruded aluminum enclosure w/ metal end panels 165 X 30.5 X 220MM ALM EXTRUSN,,,https://www.hawkusa.com/manufacturers/hammond-mfg/enclosures/box-metal/1455r2201
SMA edge connector,3,,,C496550,BWSMA-KE-P001,Bat Wireless,1 Inner hole SMA Board-End Staggered pins 50Ω 5.2mm Plugin Coaxial Connectors (RF) ROHS,,,https://a.co/d/4B7CaRl
12V connector,1,,,C2961147,PJ-002AH,Cui,Plugin DC Power Connectors ROHS,,,https://a.co/d/eoDnTFM
Fan 5V 40x40x10mm,1,,,https://a.co/d/87twmHs,,,,,,
Female JST fan connector,1,,,https://a.co/d/eWYJwHc,,,,,,
JTAG connector 2x5,1,,,https://a.co/d/f5vxffH,,,,,,
Heatsink 20x20x10mm,2,,,https://a.co/d/1xYD7Q9,,,,,,
Thermal tape,,,,https://a.co/d/dvBZmN2,,,,,,
Bubble wrap,,,,https://a.co/d/7Qrm6s9,,,,,,
Box 12x8x2,1,,,https://a.co/d/dbKtnco,,,,,,
USB A to C cable,1,,,https://a.co/d/j788qq6,,,,,,
Sticker for box,1,,,https://www.vistaprint.com/labels-stickers,,,,,,
